品牌,名称,排放标准,排量,变速箱类型,新车含税价
奥迪,奥迪 A7掀背 2020款 2.0T 自动 45TFSI臻选型,国6,2.0L,双离合,66.70万
奥迪,奥迪 A7掀背 2020款 2.0T 自动 45TFSI臻选型,国6,2.0L,双离合,66.70万
宝马,宝马 7系 2019款 2.0T 自动 730Li豪华套装 改款,国6,2.0L,自动,90.13万
宝马,宝马 7系 2019款 2.0T 自动 730Li豪华套装 改款,国6,2.0L,自动,90.13万
宝马,宝马 X5 2019款 2.0T 自动 30i M运动套装,国6,2.0L,自动,76.18万
宝马,宝马 7系 2019款 2.0T 自动 730Li M运动套装 改款,国6,2.0L,自动,90.13万
宝马,宝马 X5 2020款 3.0T 自动 40i M运动套装,国6,3.0L,自动,82.71万
宝马,宝马 Z4敞篷车 2019款 2.0T 自动 25i M运动套装,国6,2.0L,自动,53.21万
宝马,宝马 X5 2019款 3.0T 自动 40i M运动套装,国6,3.0L,自动,82.71万
保时捷,保时捷 Macan 2018款 2.0T 自动,国6,2.0L,双离合,60.74万
保时捷,保时捷 718 2019款 2.0T 自动 Cayman T,国6,2.0L,双离合,69.77万
保时捷,保时捷 718 2018款 2.0T 自动 Boxster,国6,2.0L,双离合,62.92万
奔驰,奔驰 C级 2021款 1.5T 自动 C260L运动版,国6,1.5L,自动,37.75万
奔驰,奔驰 A级 2020款 1.3T自动  A200L运动轿车时尚型 改款,国6,1.3L,双离合,28.82万
奔驰,奔驰 A级 2020款 1.3T 自动 A200L运动轿车,国6,1.3L,双离合,28.82万
奔驰,奔驰 C级 2020款 1.5T 自动 C260L运动版 改款,国6,1.5L,自动,37.75万
奔驰,奔驰 GLC级 2020款 2.0T 自动 GLC300L动感型 改款,国6,2.0L,自动,48.96万
奔驰,奔驰 C级 2020款 1.5T 自动 C260L运动版,国6,1.5L,自动,37.75万
奔驰,奔驰 A级 2020款 1.3T 自动 A200L运动轿车,国6,1.3L,双离合,28.82万
现代,现代 索纳塔 2020款 2.0T 自动 380TGDi TOP旗舰版,国6,2.0L,自动,22.40万
现代,现代 菲斯塔 2019款 1.6T 自动 280TGDi运动版 国V,国5,1.6L,双离合,14.56万
现代,现代 索纳塔 2020款 1.5T 自动 270TGDi GLS精英版,国6,1.5L,双离合,18.70万
现代,现代 菲斯塔 2019款 1.6T 自动 280TGDi智速版 国VI,国6,1.6L,双离合,15.33万
奔驰,奔驰 A级 2019款 1.3T 自动 A200动感型,国6,1.3L,双离合,28.06万
本田,本田 思域 2021款 1.5T 自动 HATCHBACK 220TURBO潮酷控,国6,1.5L,无极,16.64万
本田,本田 CR-V 2021款 2.0 自动 净享版四驱 锐·混动,国6,2.0L,无级,30.13万
本田,本田 艾力绅 2019款 2.0 自动 豪华版 混动,国6,2.0L,无级,33.72万
本田,本田 思域 2021款 1.5T 自动 HATCHBACK 220TURBO潮酷控,国6,1.5L,无极,16.64万
本田,本田 CR-V 2021款 2.0 自动 净享版四驱 锐·混动,国6,2.0L,无级,30.13万
本田,本田 艾力绅 2019款 2.0 自动 至尊版 混动,国6,2.0L,无级,35.79万
